STATION_ID,DURATION,SENSOR_NUMBER,SENSOR_TYPE,DATE TIME,OBS DATE,VALUE,DATA_FLAG,UNITS
MHP,D,32,TEMP MN,20120819 0000,20120819 0000,48, ,DEG F
MHP,D,32,TEMP MN,20120820 0000,20120820 0000,49, ,DEG F
MHP,D,32,TEMP MN,20120821 0000,20120821 0000,46, ,DEG F
MHP,D,32,TEMP MN,20120822 0000,20120822 0000,42, ,DEG F
MHP,D,32,TEMP MN,20120823 0000,20120823 0000,43, ,DEG F
MHP,D,32,TEMP MN,20120824 0000,20120824 0000,46, ,DEG F
MHP,D,32,TEMP MN,20120825 0000,20120825 0000,46, ,DEG F
MHP,D,32,TEMP MN,20120826 0000,20120826 0000,39, ,DEG F
MHP,D,32,TEMP MN,20120827 0000,20120827 0000,38, ,DEG F
MHP,D,32,TEMP MN,20120828 0000,20120828 0000,43, ,DEG F
MHP,D,32,TEMP MN,20120829 0000,20120829 0000,45, ,DEG F
MHP,D,32,TEMP MN,20120830 0000,20120830 0000,48, ,DEG F
MHP,D,32,TEMP MN,20120831 0000,20120831 0000,38, ,DEG F
MHP,D,32,TEMP MN,20120901 0000,20120901 0000,34, ,DEG F
MHP,D,32,TEMP MN,20120902 0000,20120902 0000,41, ,DEG F
MHP,D,32,TEMP MN,20120903 0000,20120903 0000,42, ,DEG F
MHP,D,32,TEMP MN,20120904 0000,20120904 0000,44, ,DEG F
MHP,D,32,TEMP MN,20120905 0000,20120905 0000,47, ,DEG F
MHP,D,32,TEMP MN,20120906 0000,20120906 0000,43, ,DEG F
MHP,D,32,TEMP MN,20120907 0000,20120907 0000,43, ,DEG F
MHP,D,32,TEMP MN,20120908 0000,20120908 0000,48, ,DEG F
MHP,D,32,TEMP MN,20120909 0000,20120909 0000,47, ,DEG F
MHP,D,32,TEMP MN,20120910 0000,20120910 0000,44, ,DEG F
MHP,D,32,TEMP MN,20120911 0000,20120911 0000,39, ,DEG F
MHP,D,32,TEMP MN,20120912 0000,20120912 0000,40, ,DEG F
MHP,D,32,TEMP MN,20120913 0000,20120913 0000,40, ,DEG F
MHP,D,32,TEMP MN,20120914 0000,20120914 0000,41, ,DEG F
MHP,D,32,TEMP MN,20120915 0000,20120915 0000,43, ,DEG F
MHP,D,32,TEMP MN,20120916 0000,20120916 0000,41, ,DEG F
MHP,D,32,TEMP MN,20120917 0000,20120917 0000,41, ,DEG F
MHP,D,32,TEMP MN,20120918 0000,20120918 0000,41, ,DEG F
MHP,D,32,TEMP MN,20120919 0000,20120919 0000,41, ,DEG F
MHP,D,32,TEMP MN,20120920 0000,20120920 0000,43, ,DEG F
