STATION_ID,DURATION,SENSOR_NUMBER,SENSOR_TYPE,DATE TIME,OBS DATE,VALUE,DATA_FLAG,UNITS
CAP,D,3,SNOW WC,20120716 0000,20120716 0500,-0.84, ,INCHES
CAP,D,3,SNOW WC,20120717 0000,20120717 0500,-0.84, ,INCHES
CAP,D,3,SNOW WC,20120718 0000,20120718 0500,-0.84, ,INCHES
CAP,D,3,SNOW WC,20120719 0000,20120719 0500,-0.84, ,INCHES
CAP,D,3,SNOW WC,20120720 0000,20120720 0500,-0.84, ,INCHES
CAP,D,3,SNOW WC,20120721 0000,20120721 0500,-0.84, ,INCHES
CAP,D,3,SNOW WC,20120722 0000,20120722 0500,-0.84, ,INCHES
CAP,D,3,SNOW WC,20120723 0000,20120723 0500,-0.84, ,INCHES
CAP,D,3,SNOW WC,20120724 0000,20120724 0500,-0.84, ,INCHES
CAP,D,3,SNOW WC,20120725 0000,20120725 0500,-0.84, ,INCHES
CAP,D,3,SNOW WC,20120726 0000,20120726 0500,-0.24, ,INCHES
CAP,D,3,SNOW WC,20120727 0000,20120727 0500,-0.12, ,INCHES
CAP,D,3,SNOW WC,20120728 0000,20120728 0500,-0.12, ,INCHES
CAP,D,3,SNOW WC,20120729 0000,20120729 0500,-0.12, ,INCHES
CAP,D,3,SNOW WC,20120730 0000,20120730 0500,-0.12, ,INCHES
CAP,D,3,SNOW WC,20120731 0000,20120731 0500,-0.12, ,INCHES
CAP,D,3,SNOW WC,20120801 0000,20120801 0500,-0.12, ,INCHES
CAP,D,3,SNOW WC,20120802 0000,20120802 0500,-0.12, ,INCHES
CAP,D,3,SNOW WC,20120803 0000,20120803 0500,-0.12, ,INCHES
CAP,D,3,SNOW WC,20120804 0000,20120804 0500,0.00, ,INCHES
CAP,D,3,SNOW WC,20120805 0000,20120805 0500,0.00, ,INCHES
CAP,D,3,SNOW WC,20120806 0000,20120806 0500,-0.12, ,INCHES
CAP,D,3,SNOW WC,20120807 0000,20120807 0500,-0.24, ,INCHES
CAP,D,3,SNOW WC,20120808 0000,20120808 0500,-0.24, ,INCHES
CAP,D,3,SNOW WC,20120809 0000,20120809 0400,-0.12, ,INCHES
CAP,D,3,SNOW WC,20120810 0000,20120810 0400,-0.12, ,INCHES
CAP,D,3,SNOW WC,20120811 0000,20120811 0500,-0.24, ,INCHES
CAP,D,3,SNOW WC,20120812 0000,20120812 0500,-0.24, ,INCHES
CAP,D,3,SNOW WC,20120813 0000,20120813 0500,-0.24, ,INCHES
CAP,D,3,SNOW WC,20120814 0000,20120814 0500,-0.24, ,INCHES
CAP,D,3,SNOW WC,20120815 0000,20120815 0500,-0.24, ,INCHES
CAP,D,3,SNOW WC,20120816 0000,20120816 0500,-0.24, ,INCHES
CAP,D,3,SNOW WC,20120817 0000,20120817 0500,-0.24, ,INCHES
